,dates
648,2019-08-02 00:00:00
649,2019-12-01 00:00:00
650,2019-03-09 00:00:00
651,2020-04-18 00:00:00
652,2019-03-09 00:00:00
653,2018-10-09 00:00:00
654,2019-02-14 00:00:00
655,2018-08-14 00:00:00
656,2019-01-25 00:00:00
657,2020-09-13 00:00:00
658,2018-12-22 00:00:00
659,2018-12-22 00:00:00
660,2019-08-28 00:00:00
661,2020-06-18 00:00:00
662,2017-10-13 00:00:00
663,2017-04-13 00:00:00
664,2017-04-13 00:00:00
665,2019-08-28 00:00:00
666,2019-08-27 00:00:00
667,2020-08-15 00:00:00
668,2019-08-28 00:00:00
669,2019-08-19 00:00:00
670,2019-09-20 00:00:00
671,2019-08-28 00:00:00
672,2019-08-19 00:00:00
673,2019-09-17 00:00:00
674,2020-02-14 00:00:00
675,2019-08-28 00:00:00
676,2019-08-19 00:00:00
677,2019-09-17 00:00:00
678,2020-02-10 00:00:00
679,2019-08-28 00:00:00
680,2019-08-19 00:00:00
681,2019-09-17 00:00:00
682,2019-09-16 00:00:00
683,2020-02-10 00:00:00
684,2020-01-13 00:00:00
685,2019-08-28 00:00:00
686,2019-08-19 00:00:00
687,2019-09-17 00:00:00
688,2019-09-16 00:00:00
689,2020-02-10 00:00:00
690,2019-08-28 00:00:00
691,2020-11-17 00:00:00
692,2019-08-27 00:00:00
693,2019-08-27 00:00:00
694,2019-02-09 00:00:00
695,2018-12-16 00:00:00
696,2019-08-27 00:00:00
697,2019-08-27 00:00:00
698,2019-08-26 00:00:00
699,2019-08-25 00:00:00
700,2019-08-25 00:00:00
701,2019-08-25 00:00:00
702,2019-08-25 00:00:00
703,2019-08-27 00:00:00
704,2019-08-27 00:00:00
705,2020-12-14 00:00:00
706,2021-01-08 00:00:00
707,2019-08-26 00:00:00
708,2021-01-04 00:00:00
709,2019-08-28 00:00:00
710,2020-12-24 00:00:00
711,2019-08-26 00:00:00
712,2018-12-05 00:00:00
713,2020-06-04 00:00:00
714,2019-08-25 00:00:00
715,2020-09-25 00:00:00
716,2019-08-23 00:00:00
717,2019-08-23 00:00:00
718,2019-08-24 00:00:00
719,2019-08-24 00:00:00
720,2019-08-23 00:00:00
721,2019-08-23 00:00:00
722,2019-08-24 00:00:00
723,2019-08-23 00:00:00
724,2019-08-23 00:00:00
725,2019-08-24 00:00:00
726,2019-08-23 00:00:00
727,2020-09-05 00:00:00
728,2019-08-23 00:00:00
729,2019-08-23 00:00:00
730,2019-08-29 00:00:00
731,2020-09-01 00:00:00
732,2019-08-23 00:00:00
733,2020-05-28 00:00:00
734,2019-08-22 00:00:00
735,2019-08-21 00:00:00
736,2020-09-10 00:00:00
737,2021-01-05 00:00:00
738,2019-08-22 00:00:00
739,2019-08-23 00:00:00
740,2019-08-23 00:00:00
741,2018-10-20 00:00:00
742,2020-12-16 00:00:00
743,2019-08-22 00:00:00
744,2019-05-27 00:00:00
745,2019-08-22 00:00:00
746,2019-08-22 00:00:00
747,2019-09-20 00:00:00
748,2019-10-19 00:00:00
749,2019-08-22 00:00:00
750,2019-08-21 00:00:00
751,2019-08-22 00:00:00
752,2019-08-21 00:00:00
753,2019-09-20 00:00:00
754,2019-09-19 00:00:00
755,2019-08-21 00:00:00
756,2019-04-04 00:00:00
757,2019-04-10 00:00:00
758,2019-04-01 00:00:00
759,2019-08-21 00:00:00
760,2019-04-02 00:00:00
761,2019-04-01 00:00:00
762,2019-04-10 00:00:00
763,2019-02-01 00:00:00
764,2019-01-31 00:00:00
765,2019-09-10 00:00:00
766,2019-09-06 00:00:00
767,2020-11-05 00:00:00
768,2019-08-21 00:00:00
769,2019-08-22 00:00:00
770,2019-08-22 00:00:00
771,2019-08-21 00:00:00
772,2019-07-25 00:00:00
773,2019-08-21 00:00:00
774,2019-08-21 00:00:00
775,2020-11-20 00:00:00
776,2019-08-20 00:00:00
777,2019-08-20 00:00:00
778,2019-08-20 00:00:00
779,2019-11-24 00:00:00
780,2019-12-12 00:00:00
781,2019-12-19 00:00:00
782,2019-08-19 00:00:00
783,2019-08-18 00:00:00
784,2019-08-20 00:00:00
785,2019-08-19 00:00:00
786,2018-08-07 00:00:00
787,2019-08-18 00:00:00
788,2019-08-16 00:00:00
789,2019-08-15 00:00:00
790,2020-04-28 00:00:00
791,2021-02-05 00:00:00
792,2019-08-17 00:00:00
793,2019-08-16 00:00:00
794,2019-08-16 00:00:00
795,2019-08-15 00:00:00
796,2019-08-15 00:00:00
797,2019-08-02 00:00:00
798,2019-08-13 00:00:00
799,2019-07-30 00:00:00
800,2019-07-30 00:00:00
801,2019-08-27 00:00:00
802,2018-08-23 00:00:00
803,2018-08-09 00:00:00
804,2018-09-19 00:00:00
805,2018-09-05 00:00:00
806,2019-08-12 00:00:00
807,2019-08-02 00:00:00
808,2019-07-19 00:00:00
809,2019-07-19 00:00:00
810,2019-08-10 00:00:00
811,2019-08-10 00:00:00
812,2019-08-23 00:00:00
813,2019-07-31 00:00:00
814,2018-09-03 00:00:00
815,2020-09-18 00:00:00
816,2020-09-04 00:00:00
817,2019-08-09 00:00:00
818,2019-08-08 00:00:00
819,2019-07-26 00:00:00
820,2020-05-26 00:00:00
821,2020-05-12 00:00:00
822,2019-10-11 00:00:00
823,2019-09-27 00:00:00
824,2019-09-27 00:00:00
825,2020-09-12 00:00:00
826,2020-08-29 00:00:00
827,2020-09-11 00:00:00
828,2020-08-29 00:00:00
829,2019-09-13 00:00:00
830,2019-10-10 00:00:00
831,2019-09-26 00:00:00
832,2019-08-08 00:00:00
833,2019-08-07 00:00:00
834,2021-01-07 00:00:00
835,2019-08-06 00:00:00
836,2019-07-23 00:00:00
837,2020-02-24 00:00:00
838,2020-02-03 00:00:00
839,2019-08-05 00:00:00
840,2019-07-15 00:00:00
841,2019-07-15 00:00:00
842,2019-07-15 00:00:00
843,2018-11-24 00:00:00
844,2020-12-04 00:00:00
845,2020-12-29 00:00:00
846,2020-12-08 00:00:00
847,2019-08-02 00:00:00
848,2019-08-01 00:00:00
849,2020-12-12 00:00:00
850,2020-11-14 00:00:00
851,2019-08-01 00:00:00
852,2019-07-04 00:00:00
853,2019-07-04 00:00:00
854,2019-08-15 00:00:00
855,2018-08-10 00:00:00
856,2020-11-20 00:00:00
857,2020-10-23 00:00:00
858,2020-10-23 00:00:00
859,2020-10-23 00:00:00
860,2020-10-23 00:00:00
861,2020-10-23 00:00:00
862,2019-03-12 00:00:00
863,2019-02-12 00:00:00
864,2020-08-21 00:00:00
865,2020-07-24 00:00:00
866,2020-06-21 00:00:00
867,2019-09-23 00:00:00
868,2019-09-23 00:00:00
869,2020-11-13 00:00:00
870,2021-01-25 00:00:00
871,2021-01-26 00:00:00
872,2020-12-29 00:00:00
873,2019-07-26 00:00:00
874,2019-07-29 00:00:00
875,2019-08-02 00:00:00
876,2019-07-05 00:00:00
877,2019-08-01 00:00:00
878,2019-07-05 00:00:00
879,2019-08-01 00:00:00
880,2019-07-25 00:00:00
881,2019-06-20 00:00:00
882,2019-06-20 00:00:00
883,2019-11-09 00:00:00
884,2020-07-30 00:00:00
885,2020-06-25 00:00:00
886,2020-06-25 00:00:00
887,2020-07-29 00:00:00
888,2019-07-22 00:00:00
889,2019-06-17 00:00:00
890,2019-06-17 00:00:00
891,2019-06-17 00:00:00
892,2018-10-16 00:00:00
893,2018-10-12 00:00:00
894,2018-10-11 00:00:00
895,2018-10-11 00:00:00
896,2019-07-22 00:00:00
897,2019-05-20 00:00:00
898,2020-07-17 00:00:00
899,2020-06-12 00:00:00
900,2020-06-12 00:00:00
901,2020-07-16 00:00:00
902,2021-01-06 00:00:00
903,2020-12-02 00:00:00
904,2019-07-18 00:00:00
905,2019-05-15 00:00:00
906,2019-04-03 00:00:00
907,2019-04-03 00:00:00
908,2020-06-13 00:00:00
909,2021-02-07 00:00:00
910,2020-12-27 00:00:00
911,2019-10-24 00:00:00
912,2019-07-12 00:00:00
913,2019-12-03 00:00:00
914,2019-07-11 00:00:00
915,2019-05-23 00:00:00
